index,sample,etchlevel,etchtime,element,species,spin,expected_eV,fitted_eV,fitted_stderr,delta_eV
8,ReTa03,8,80.103,Re4f,Re2O7 (Re7+),5/2,47.92,49.134235694123475,0.3934757600006198,1.2142356941234738
9,ReTa03,9,90.115,Re4f,Re metal,7/2,40.35,40.65267535786483,0.008946930397551421,0.30267535786482824
9,ReTa03,9,90.115,Re4f,Re metal,5/2,42.77,43.088404696543535,0.010370600983044443,0.31840469654353143
9,ReTa03,9,90.115,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.3660653189190638,-0.3999999999999986
9,ReTa03,9,90.115,Re4f,ReO2 (Re4+),5/2,44.62,44.23572933867871,0.365101293655636,-0.3842706613212883
9,ReTa03,9,90.115,Re4f,ReO3 (Re6+),7/2,43.1,43.14541336317073,1.288534328029321,0.04541336317073075
9,ReTa03,9,90.115,Re4f,ReO3 (Re6+),5/2,45.52,45.58114270184944,1.2874144933130043,0.061142701849433934
9,ReTa03,9,90.115,Re4f,Re2O7 (Re7+),7/2,45.5,46.699999999999996,0.39471493076991765,1.1999999999999957
9,ReTa03,9,90.115,Re4f,Re2O7 (Re7+),5/2,47.92,49.1357293386787,0.3944816194235583,1.215729338678699
10,ReTa04,0,0.0,Re4f,Re metal,7/2,40.35,40.65086542334222,0.007860476158855679,0.30086542334221633
10,ReTa04,0,0.0,Re4f,Re metal,5/2,42.77,43.07173679991098,0.008923360930916611,0.30173679991097657
10,ReTa04,0,0.0,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.054435792013844915,-0.3999999999999986
10,ReTa04,0,0.0,Re4f,ReO2 (Re4+),5/2,44.62,44.220871376568766,0.05457336988729008,-0.39912862343123123
10,ReTa04,0,0.0,Re4f,ReO3 (Re6+),7/2,43.1,43.458790331060975,0.19139205644239538,0.35879033106097324
10,ReTa04,0,0.0,Re4f,ReO3 (Re6+),5/2,45.52,45.87966170762974,0.1919251215966985,0.3596617076297335
10,ReTa04,0,0.0,Re4f,Re2O7 (Re7+),7/2,45.5,46.699999999999996,0.45132732215375326,1.1999999999999957
10,ReTa04,0,0.0,Re4f,Re2O7 (Re7+),5/2,47.92,49.12087137656876,0.45136034270617154,1.200871376568756
11,ReTa04,1,10.013,Re4f,Re metal,7/2,40.35,40.59781820037041,0.007969884099478006,0.24781820037041058
11,ReTa04,1,10.013,Re4f,Re metal,5/2,42.77,43.03187473221762,0.009057170654620953,0.26187473221761337
11,ReTa04,1,10.013,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.30898210771807616,-0.3999999999999986
11,ReTa04,1,10.013,Re4f,ReO2 (Re4+),5/2,44.62,44.23405653184721,0.3093167810943216,-0.3859434681527887
11,ReTa04,1,10.013,Re4f,ReO3 (Re6+),7/2,43.1,43.213642388588276,1.0319664801943227,0.11364238858827491
11,ReTa04,1,10.013,Re4f,ReO3 (Re6+),5/2,45.52,45.64769892043548,1.0320998867868272,0.1276989204354777
11,ReTa04,1,10.013,Re4f,Re2O7 (Re7+),7/2,45.5,46.699999999999996,0.3443573008351578,1.1999999999999957
11,ReTa04,1,10.013,Re4f,Re2O7 (Re7+),5/2,47.92,49.1340565318472,0.3436754277968413,1.2140565318471985
12,ReTa04,2,20.026,Re4f,Re metal,7/2,40.35,40.59822866939661,0.00844287603630311,0.24822866939661026
12,ReTa04,2,20.026,Re4f,Re metal,5/2,42.77,43.03533005088956,0.009722545379342874,0.26533005088955974
12,ReTa04,2,20.026,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.34799254598119617,-0.3999999999999986
12,ReTa04,2,20.026,Re4f,ReO2 (Re4+),5/2,44.62,44.237101381492955,0.34789023443482286,-0.382898618507042
12,ReTa04,2,20.026,Re4f,ReO3 (Re6+),7/2,43.1,43.17533897753765,1.1441808340817103,0.07533897753764762
12,ReTa04,2,20.026,Re4f,ReO3 (Re6+),5/2,45.52,45.6124403590306,1.1438332435545475,0.09244035903059711
12,ReTa04,2,20.026,Re4f,Re2O7 (Re7+),7/2,45.5,46.699999999999996,0.3441805178744519,1.1999999999999957
12,ReTa04,2,20.026,Re4f,Re2O7 (Re7+),5/2,47.92,49.13710138149295,0.34359481414425663,1.2171013814929452
13,ReTa04,3,30.039,Re4f,Re metal,7/2,40.35,40.59791824173328,0.008520236849997078,0.2479182417332808
13,ReTa04,3,30.039,Re4f,Re metal,5/2,42.77,43.033987503268705,0.009754740771251954,0.2639875032687016
