sample,group,element,species,spin,expected_eV,fitted_eV,stderr_eV,delta_eV,etchlevel,etchtime,depth_order
ReTa03,Unknown,Ta4f,Ta metal,5/2,23.9,24.139009466293704,0.047977012970805206,0.23900946629370523,9.0,90.115,10
ReTa03,Unknown,Ta4f,Ta metal,7/2,22.0,22.199999999999978,4.4401528862791444e-08,0.19999999999997797,,,0
ReTa03,Unknown,Ta4f,Ta metal,7/2,22.0,22.2,4.370875569377266e-09,0.1999999999999993,0.0,0.0,1
ReTa03,Unknown,Ta4f,Ta metal,7/2,22.0,22.159052825811518,0.027140192047499376,0.1590528258115178,1.0,10.013,2
ReTa03,Unknown,Ta4f,Ta metal,7/2,22.0,22.125378374249514,0.021628935098918427,0.12537837424951448,2.0,20.026,3
ReTa03,Unknown,Ta4f,Ta metal,7/2,22.0,22.11876606229798,0.020980852234440937,0.11876606229797915,3.0,30.038,4
ReTa03,Unknown,Ta4f,Ta metal,7/2,22.0,22.10927422394208,0.019806076382460847,0.10927422394208008,4.0,40.051,5
ReTa03,Unknown,Ta4f,Ta metal,7/2,22.0,22.115358186127793,0.0205520679543299,0.1153581861277928,5.0,50.064,6
ReTa03,Unknown,Ta4f,Ta metal,7/2,22.0,22.10323361443439,0.019817895547418685,0.10323361443439083,6.0,60.077,7
ReTa03,Unknown,Ta4f,Ta metal,7/2,22.0,22.10555007469381,0.019741277500632707,0.10555007469380939,7.0,70.09,8
ReTa03,Unknown,Ta4f,Ta metal,7/2,22.0,22.106765892000897,0.019864430624741868,0.10676589200089737,8.0,80.103,9
ReTa03,Unknown,Ta4f,Ta metal,7/2,22.0,22.187550849222355,0.04823422498537677,0.18755084922235454,9.0,90.115,10
ReTa03,Unknown,Ta4f,Ta+1,5/2,24.6,25.899999999999945,3.1013167647454934e-07,1.2999999999999439,,,0
ReTa03,Unknown,Ta4f,Ta+1,5/2,24.6,25.899999999999967,2.2989035724040103e-07,1.2999999999999652,0.0,0.0,1
ReTa03,Unknown,Ta4f,Ta+1,5/2,24.6,24.696202694720583,0.01330631283446227,0.0962026947205814,1.0,10.013,2
ReTa03,Unknown,Ta4f,Ta+1,5/2,24.6,24.667464946814142,0.010861889234787238,0.06746494681414106,2.0,20.026,3
ReTa03,Unknown,Ta4f,Ta+1,5/2,24.6,24.658967386683727,0.010529570088533361,0.05896738668372592,3.0,30.038,4
