sample,group,element,species,spin,expected_eV,fitted_eV,stderr_eV,delta_eV
Control_WK0,Control,Re4f,ReO2 (Re4+),5/2,44.62,44.22527723021627,0.06462519516957398,-0.39472276978372633
Control_WK0,Control,Re4f,ReO3 (Re6+),7/2,43.1,43.00781235206966,0.1361827985643076,-0.09218764793034495
Control_WK0,Control,Re4f,ReO3 (Re6+),5/2,45.52,45.43308958228592,0.13622924958515123,-0.08691041771407981
Control_WK0,Control,Re4f,Re2O7 (Re7+),7/2,45.5,46.109916754810456,0.018963101023003845,0.609916754810456
Control_WK0,Control,Re4f,Re2O7 (Re7+),5/2,47.92,48.53519398502672,0.01879793406445488,0.6151939850267212
Control_WK1,Control,Re4f,Re metal,7/2,40.35,40.448673787686445,0.028529692135006307,0.09867378768644386
Control_WK1,Control,Re4f,Re metal,5/2,42.77,42.87296585021909,0.028457772754126396,0.10296585021908555
Control_WK1,Control,Re4f,Redp1 (Reδ+1),7/2,40.57,40.668673787686444,0.028529692090882026,0.09867378768644386
Control_WK1,Control,Re4f,Redp1 (Reδ+1),5/2,42.99,43.09296585021909,0.028457772754126396,0.10296585021908555
Control_WK1,Control,Re4f,Redp2 (Reδ+2),7/2,40.8,40.89867378768645,0.028529692090882026,0.09867378768645096
Control_WK1,Control,Re4f,Redp2 (Reδ+2),5/2,43.22,43.32296585021909,0.028457772754126396,0.10296585021909266
Control_WK1,Control,Re4f,Redp3 (Reδ+3),7/2,41.08,41.17867378768644,0.028529692090882026,0.09867378768644386
Control_WK1,Control,Re4f,Redp3 (Reδ+3),5/2,43.5,43.602965850219086,0.028457772754126396,0.10296585021908555
Control_WK1,Control,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.0519971547426373,-0.3999999999999986
Control_WK1,Control,Re4f,ReO2 (Re4+),5/2,44.62,44.22429206253265,0.051202781968355114,-0.3957079374673498
Control_WK1,Control,Re4f,ReO3 (Re6+),7/2,43.1,42.945545249342764,0.12194428790903347,-0.15445475065723713
Control_WK1,Control,Re4f,ReO3 (Re6+),5/2,45.52,45.36983731187541,0.12084204260411784,-0.15016268812459543
Control_WK1,Control,Re4f,Re2O7 (Re7+),7/2,45.5,45.973404015544574,0.018787146000173394,0.473404015544574
Control_WK1,Control,Re4f,Re2O7 (Re7+),5/2,47.92,48.39769607807722,0.01904278467584789,0.4776960780772157
Control_WK2,Control,Re4f,Re metal,7/2,40.35,40.4524895206798,0.02891778348978421,0.10248952067979644
Control_WK2,Control,Re4f,Re metal,5/2,42.77,42.87519752136568,0.028860679150702506,0.10519752136567462
Control_WK2,Control,Re4f,Redp1 (Reδ+1),7/2,40.57,40.6724895206798,0.02891778355684281,0.10248952067979644
Control_WK2,Control,Re4f,Redp1 (Reδ+1),5/2,42.99,43.09519752136568,0.028860679150702506,0.10519752136567462
Control_WK2,Control,Re4f,Redp2 (Reδ+2),7/2,40.8,40.9024895206798,0.02891778355684281,0.10248952067980355
Control_WK2,Control,Re4f,Redp2 (Reδ+2),5/2,43.22,43.32519752136568,0.028860679150702506,0.10519752136568172
Control_WK2,Control,Re4f,Redp3 (Reδ+3),7/2,41.08,41.182489520679795,0.02891778355684281,0.10248952067979644
Control_WK2,Control,Re4f,Redp3 (Reδ+3),5/2,43.5,43.60519752136567,0.02886067948962262,0.10519752136566751
Control_WK2,Control,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.05260085333858551,-0.3999999999999986
Control_WK2,Control,Re4f,ReO2 (Re4+),5/2,44.62,44.222708000685884,0.05183348594616007,-0.3972919993141133
Control_WK2,Control,Re4f,ReO3 (Re6+),7/2,43.1,42.961756342233535,0.11497033291853224,-0.1382436577664663
Control_WK2,Control,Re4f,ReO3 (Re6+),5/2,45.52,45.384464342919415,0.11372778307124941,-0.13553565708058812
Control_WK2,Control,Re4f,Re2O7 (Re7+),7/2,45.5,45.959094431768115,0.018801328582805248,0.45909443176811493
Control_WK2,Control,Re4f,Re2O7 (Re7+),5/2,47.92,48.381802432453995,0.01917026276169022,0.4618024324539931
Control_WK3,Control,Re4f,Re metal,7/2,40.35,40.449152879692534,0.02800100596053346,0.09915287969253228
